Tabela Resultados 1
;Operador ;Diâmetro;Comprimento;Comprimento final
;;(mm);(mm);(mm)
1;"Operador ";"8,50";"50,00";"59,40"
Tempo;Deslocamento;Força;Deformação à tração (Extensômetro)
(s);(mm);(kN);(%)
"0,0000";"0,0000";"0,0021";"-0,0016"
"0,0500";"0,0000";"0,0027";"-0,0018"
"0,1000";"0,0003";"0,0035";"-0,0014"
"0,1500";"0,0009";"0,0055";"-0,0016"
"0,2000";"0,0019";"0,0067";"-0,0014"
"0,2500";"0,0033";"0,0073";"-0,0016"
"0,3000";"0,0043";"0,0063";"-0,0015"
"0,3500";"0,0053";"0,0064";"-0,0015"
"0,4000";"0,0066";"0,0064";"-0,0016"
"0,4500";"0,0074";"0,0066";"-0,0018"
"0,5000";"0,0082";"0,0070";"-0,0016"
"0,5500";"0,0090";"0,0068";"-0,0016"
"0,6000";"0,0101";"0,0073";"-0,0018"
"0,6500";"0,0109";"0,0073";"-0,0015"
"0,7000";"0,0116";"0,0062";"-0,0015"
"0,7500";"0,0124";"0,0066";"-0,0019"
"0,8000";"0,0134";"0,0068";"-0,0017"
"0,8500";"0,0143";"0,0067";"-0,0017"
"0,9000";"0,0149";"0,0069";"-0,0018"
"0,9500";"0,0157";"0,0070";"-0,0015"
"1,0000";"0,0167";"0,0074";"-0,0016"
"1,0500";"0,0176";"0,0067";"-0,0020"
"1,1000";"0,0183";"0,0063";"-0,0019"
"1,1500";"0,0190";"0,0063";"-0,0014"
"1,2000";"0,0200";"0,0069";"-0,0020"
"1,2500";"0,0210";"0,0068";"-0,0018"
"1,3000";"0,0217";"0,0069";"-0,0019"
"1,3500";"0,0224";"0,0065";"-0,0021"
"1,4000";"0,0234";"0,0068";"-0,0020"
"1,4500";"0,0244";"0,0060";"-0,0020"
"1,5000";"0,0251";"0,0063";"-0,0019"
"1,5500";"0,0258";"0,0061";"-0,0020"
"1,6000";"0,0266";"0,0063";"-0,0020"
"1,6500";"0,0277";"0,0066";"-0,0018"
"1,7000";"0,0285";"0,0064";"-0,0022"
"1,7500";"0,0292";"0,0070";"-0,0020"
"1,8000";"0,0300";"0,0070";"-0,0020"
"1,8500";"0,0310";"0,0063";"-0,0018"
"1,9000";"0,0318";"0,0059";"-0,0021"
"1,9500";"0,0325";"0,0062";"-0,0018"
"2,0000";"0,0332";"0,0066";"-0,0019"
"2,0500";"0,0342";"0,0065";"-0,0023"
"2,1000";"0,0352";"0,0066";"-0,0019"
"2,1500";"0,0359";"0,0069";"-0,0021"
"2,2000";"0,0365";"0,0069";"-0,0022"
"2,2500";"0,0375";"0,0060";"-0,0022"
"2,3000";"0,0385";"0,0058";"-0,0018"
"2,3500";"0,0392";"0,0067";"-0,0023"
"2,4000";"0,0399";"0,0066";"-0,0023"
"2,4500";"0,0407";"0,0066";"-0,0020"
"2,5000";"0,0418";"0,0070";"-0,0024"
"2,5500";"0,0425";"0,0074";"-0,0022"
"2,6000";"0,0432";"0,0067";"-0,0023"
"2,6500";"0,0440";"0,0060";"-0,0024"
"2,7000";"0,0451";"0,0063";"-0,0023"
"2,7500";"0,0460";"0,0062";"-0,0020"
